,aatrox,ahri,akali,alistar,amumu,anivia,annie,ashe,aurelionsol,azir,bard,blitzcrank,brand,braum,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,drmundo,draven,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,hecarim,heimerdinger,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,leblanc,leesin,leona,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,masteryi,missfortune,monkeyking,mordekaiser,morgana,nami,nasus,nautilus,neeko,nidalee,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,quinn,rakan,rammus,reksai,renekton,rengar,riven,rumble,ryze,sejuani,shaco,shen,shyvana,singed,sion,sivir,skarner,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vi,viktor,vladimir,volibear,warwick,xayah,xerath,xinzhao,yasuo,yorick,zac,zed,ziggs,zilean,zoe,zyra
kennen,0,20,0,21,0,2,4,56,3,3,10,9,2,48,44,6,23,11,29,3,4,0,1,9,53,7,19,1,8,6,16,6,0,11,53,32,7,0,0,0,19,8,29,3,16,26,6,0,51,60,3,10,1,0,0,431,30,3,3,8,25,63,5,12,30,39,0,6,17,15,0,4,0,0,13,10,0,13,0,14,2,3,21,56,0,0,1,0,0,12,0,59,1,14,6,8,20,22,0,19,2,0,2,31,5,0,1,0,0,30,22,34,5,4,0,49,19,3,0,4,7,0,4,47,2,1,1,4,35,12,0,4,16,1,0,0,0,12,12,9,4,0,29
khazix,0,60,1,29,0,5,2,201,5,20,13,13,8,100,83,44,73,16,114,1,0,13,3,31,0,0,82,0,20,19,65,16,0,22,73,2,0,0,3,10,0,31,32,2,38,168,5,0,42,155,1,19,11,6,0,30,1030,0,20,26,40,0,4,5,66,103,1,6,110,184,0,39,0,2,15,81,1,109,0,6,0,1,0,152,7,0,46,0,0,16,0,0,48,0,1,91,129,2,0,130,0,11,2,35,0,6,1,5,0,128,69,51,8,17,0,125,31,5,0,9,26,0,0,181,4,2,0,0,42,24,0,0,28,5,0,3,1,2,31,12,16,2,110
kindred,0,6,0,86,0,7,0,27,5,67,51,1,0,102,35,0,6,0,38,0,1,1,0,63,3,0,70,0,13,11,1,18,0,17,7,1,1,0,0,10,0,12,1,5,0,24,3,0,57,43,0,8,0,0,0,3,0,414,0,5,33,0,0,35,79,30,11,10,4,66,0,1,0,0,16,13,0,43,0,1,0,0,1,14,0,1,60,0,2,1,4,0,1,0,2,6,39,0,0,25,0,0,1,66,0,0,10,12,0,3,11,3,0,6,0,31,8,66,0,15,7,0,0,11,2,1,2,0,51,14,0,0,1,0,0,0,0,1,5,2,16,0,4
kled,0,8,0,6,0,0,0,29,2,1,7,11,1,37,28,0,21,3,25,0,0,0,1,7,51,2,8,0,1,4,19,0,0,0,41,6,0,0,0,0,4,4,5,0,2,22,2,0,29,25,1,5,1,2,0,3,20,0,251,15,14,47,0,0,9,24,0,0,10,7,1,1,0,1,2,11,0,1,0,4,1,1,7,39,0,0,0,0,0,20,0,20,0,9,0,1,5,11,0,0,0,0,0,1,0,0,1,0,0,30,21,27,2,3,0,47,14,0,0,0,7,0,0,54,0,0,0,0,8,12,1,1,34,0,0,0,0,11,3,0,3,0,19
kogmaw,0,19,0,64,0,5,4,5,3,30,3,2,1,108,2,10,29,30,34,1,7,3,0,20,62,12,14,1,9,10,34,14,0,68,131,19,8,0,0,4,5,84,82,11,20,1,5,0,6,27,2,3,2,3,2,8,26,5,15,583,17,53,2,12,26,120,2,6,14,85,0,0,1,0,36,32,0,35,0,24,1,17,4,47,9,2,13,0,6,7,3,76,28,9,0,37,28,46,0,66,3,0,10,10,1,2,2,0,0,27,39,27,6,13,0,78,2,38,0,7,0,2,4,5,1,1,2,2,37,11,0,2,0,7,1,8,0,20,5,2,14,5,1
leblanc,0,0,2,118,1,0,24,79,0,0,45,11,1,105,63,21,1,10,47,2,0,8,2,30,111,9,80,1,31,7,8,22,0,76,127,103,36,0,3,26,10,46,54,6,13,56,21,0,81,62,0,6,0,0,2,25,40,33,14,17,847,113,14,22,106,57,0,7,12,96,0,5,0,0,29,43,0,60,0,37,1,7,13,0,0,2,57,0,9,17,5,155,28,34,7,52,5,20,0,84,3,1,6,115,0,0,5,2,0,0,41,0,0,8,0,126,37,77,0,0,15,1,9,46,7,0,0,11,0,0,0,3,29,0,0,2,1,18,0,1,3,0,28
leesin,0,98,2,93,0,7,35,208,21,45,34,22,1,154,126,49,85,7,165,6,3,15,4,58,1,0,114,0,53,44,39,21,0,65,86,31,16,1,4,23,0,79,55,15,67,139,24,0,106,163,4,42,7,11,0,63,0,0,47,53,113,1459,16,63,115,179,4,10,75,163,0,33,0,1,49,75,1,127,0,2,0,3,5,170,2,3,75,0,7,33,4,1,66,1,9,166,68,4,0,107,3,4,12,95,0,3,7,7,0,128,77,88,10,8,0,219,68,44,0,24,28,0,1,195,16,2,6,0,103,46,0,1,48,28,0,22,0,1,25,13,13,0,130
leona,0,21,1,0,0,0,0,7,0,15,0,0,0,0,4,2,5,6,39,1,5,3,1,5,21,3,10,0,2,7,1,0,0,18,18,29,9,0,0,13,1,0,31,0,2,10,5,0,13,1,2,9,0,0,0,5,4,0,0,2,14,16,165,17,12,18,0,0,0,29,0,1,0,1,5,0,0,3,0,10,0,3,2,7,0,0,6,0,0,0,0,33,1,11,0,11,8,2,0,12,0,0,2,34,0,0,0,0,0,3,0,1,1,0,0,0,4,7,0,6,0,0,4,5,3,0,0,6,7,4,0,0,1,9,0,2,0,0,6,0,2,0,0
lissandra,0,17,0,98,0,3,21,23,0,6,32,3,0,76,20,0,6,0,68,1,1,9,0,22,81,0,69,0,20,7,1,26,0,45,52,111,25,0,0,13,1,50,41,6,6,28,7,0,82,32,1,10,1,2,0,12,5,35,0,12,22,63,17,584,130,26,1,10,1,37,0,7,1,0,41,18,1,31,0,42,3,1,9,5,0,6,61,0,5,0,4,113,2,12,1,20,3,11,0,19,0,1,6,99,0,2,3,6,0,1,23,1,1,6,0,71,16,78,0,2,4,1,2,12,5,4,0,16,15,6,0,0,0,13,0,1,0,1,20,1,3,0,6
lucian,0,91,1,239,0,11,16,17,2,129,113,17,5,357,19,13,66,21,87,2,6,27,1,87,324,15,12,0,92,42,17,91,0,115,286,161,59,0,1,67,15,132,62,19,27,15,0,0,12,162,3,60,4,9,0,30,66,79,9,26,106,115,12,130,1768,197,29,35,42,191,1,0,0,2,68,73,0,145,0,146,3,23,21,72,0,7,170,0,23,14,19,323,26,38,5,112,99,54,1,121,3,0,4,3,0,10,30,35,0,55,65,38,5,19,1,206,22,211,0,48,7,6,2,50,1,5,7,6,169,79,0,1,23,9,0,7,0,39,59,8,42,0,35
